disagg_value,year,value,indicator,disaggregation
Regional,2016,0.853326216942275,Processed Meat,Location
Regional,2016,10.1745379180483,Red Meat,Location
Regional,2016,0.0624798986452582,Saturated Fat,Location
Regional,2016,3.10182598578232,Salt,Location
Regional,2016,88.371341746559,Sugar-Sweetened Beverages,Location
Regional,2016,0.00390646211309018,Trans Fat,Location
Regional,2016,0.310077648838417,Calcium,Location
Regional,2016,89.4168626233059,Fruit,Location
Regional,2016,64.6750036765115,Legumes,Location
Regional,2016,28.0062822866722,Milk,Location
Regional,2016,2.35561322594058,Nuts And Seeds,Location
Regional,2016,0.0326964925315567,Polyunsaturated Fat,Location
Regional,2016,0.027303468946715,Omega 3,Location
Regional,2016,129.819028508179,Vegetables,Location
Regional,2016,31.0991174088972,Whole Grain,Location
Global,2016,3.26213872899093,Processed Meat,Location
Global,2016,26.6287633574427,Red Meat,Location
Global,2016,0.0738021075332404,Saturated Fat,Location
Global,2016,4.65841991618336,Salt,Location
Global,2016,94.7014156993954,Sugar-Sweetened Beverages,Location
Global,2016,0.00498857870204281,Trans Fat,Location
Global,2016,0.456531063588397,Calcium,Location
Global,2016,104.199267981657,Fruit,Location
Global,2016,44.6316590969101,Legumes,Location
Global,2016,59.7316183709202,Milk,Location
Global,2016,2.65949293226421,Nuts And Seeds,Location
Global,2016,0.0495741374119373,Polyunsaturated Fat,Location
Global,2016,0.10006628996504,Omega 3,Location
Global,2016,196.167528922841,Vegetables,Location
Global,2016,56.0974453240281,Whole Grain,Location
Male,2000,2.5387924,Adult Diabetes,Gender
Male,2001,2.6450587,Adult Diabetes,Gender
Male,2002,2.7546788,Adult Diabetes,Gender
Male,2003,2.8655257,Adult Diabetes,Gender
Male,2004,2.9777848,Adult Diabetes,Gender
Male,2005,3.0902758,Adult Diabetes,Gender
Male,2006,3.2045818,Adult Diabetes,Gender
Male,2007,3.3215648,Adult Diabetes,Gender
Male,2008,3.4401527,Adult Diabetes,Gender
Male,2009,3.559929,Adult Diabetes,Gender
Male,2010,3.6813378,Adult Diabetes,Gender
Male,2011,3.8085237,Adult Diabetes,Gender
Male,2012,3.9425278,Adult Diabetes,Gender
Male,2013,4.0863083,Adult Diabetes,Gender
Male,2014,4.2383366,Adult Diabetes,Gender
Female,2000,2.776076,Adult Diabetes,Gender
Female,2001,2.857832,Adult Diabetes,Gender
Female,2002,2.9420047,Adult Diabetes,Gender
Female,2003,3.0258518,Adult Diabetes,Gender
Female,2004,3.1111867,Adult Diabetes,Gender
Female,2005,3.1958098,Adult Diabetes,Gender
Female,2006,3.2823035,Adult Diabetes,Gender
Female,2007,3.3697998,Adult Diabetes,Gender
Female,2008,3.4599632,Adult Diabetes,Gender
Female,2009,3.5527969,Adult Diabetes,Gender
Female,2010,3.6496286,Adult Diabetes,Gender
Female,2011,3.7513475,Adult Diabetes,Gender
Female,2012,3.8584825,Adult Diabetes,Gender
Female,2013,3.9718943,Adult Diabetes,Gender
Female,2014,4.0934194,Adult Diabetes,Gender
Male,2000,24.1452376,Adult Blood Pressure,Gender
Male,2001,24.3452701,Adult Blood Pressure,Gender
Male,2002,24.5457752,Adult Blood Pressure,Gender
Male,2003,24.7481897,Adult Blood Pressure,Gender
Male,2004,24.9507476,Adult Blood Pressure,Gender
Male,2005,25.1508407,Adult Blood Pressure,Gender
Male,2006,25.3562807,Adult Blood Pressure,Gender
Male,2007,25.5659173,Adult Blood Pressure,Gender
Male,2008,25.7786489,Adult Blood Pressure,Gender
Male,2009,25.9899428,Adult Blood Pressure,Gender
Male,2010,26.2007107,Adult Blood Pressure,Gender
Male,2011,26.4141194,Adult Blood Pressure,Gender
Male,2012,26.6254308,Adult Blood Pressure,Gender
Male,2013,26.8366803,Adult Blood Pressure,Gender
Male,2014,27.0479556,Adult Blood Pressure,Gender
Male,2015,27.2594299,Adult Blood Pressure,Gender
Female,2000,27.2848922,Adult Blood Pressure,Gender
Female,2001,27.5283787,Adult Blood Pressure,Gender
Female,2002,27.769429,Adult Blood Pressure,Gender
Female,2003,28.0049651,Adult Blood Pressure,Gender
Female,2004,28.2385741,Adult Blood Pressure,Gender
Female,2005,28.4751061,Adult Blood Pressure,Gender
Female,2006,28.716293,Adult Blood Pressure,Gender
Female,2007,28.9650681,Adult Blood Pressure,Gender
Female,2008,29.2251901,Adult Blood Pressure,Gender
Female,2009,29.4934219,Adult Blood Pressure,Gender
Female,2010,29.769176,Adult Blood Pressure,Gender
Female,2011,30.0510681,Adult Blood Pressure,Gender
Female,2012,30.3257373,Adult Blood Pressure,Gender
Female,2013,30.597815,Adult Blood Pressure,Gender
Female,2014,30.8641957,Adult Blood Pressure,Gender
Female,2015,31.1272163,Adult Blood Pressure,Gender
,2019,2018.697,U5 Pop,All
,2019,266.598,65 Years,All
Urban,2016,99.5,Iodised Salt,Location
Rural,2016,99.1,Iodised Salt,Location
Lowest,2016,98.8,Iodised Salt,Income
Highest,2016,99.3,Iodised Salt,Income
Total,2016,99.2,Iodised Salt,Overall
Male,2016,16.3,Diarrhea Zinc,Sex
Female,2016,13.5,Diarrhea Zinc,Sex
Urban,2016,6.5,Diarrhea Zinc,Location
Rural,2016,15.7,Diarrhea Zinc,Location
Primary,2016,17,Diarrhea Zinc,Education
Secondary,2016,7.4,Diarrhea Zinc,Education
Lowest,2016,15.9,Diarrhea Zinc,Income
Highest,2016,11,Diarrhea Zinc,Income
Total,2016,15,Diarrhea Zinc,Overall
Male,2016,8.2,Iron Supp,Sex
Female,2016,7.5,Iron Supp,Sex
Urban,2016,4.7,Iron Supp,Location
Rural,2016,8.2,Iron Supp,Location
Primary,2016,7.4,Iron Supp,Education
Secondary,2016,5.1,Iron Supp,Education
Lowest,2016,9,Iron Supp,Income
Highest,2016,5.3,Iron Supp,Income
Total,2016,7.9,Iron Supp,Overall
Male,2016,68.3,Vit A,Sex
Female,2016,69.2,Vit A,Sex
Urban,2016,72.2,Vit A,Location
Rural,2016,68.4,Vit A,Location
Primary,2016,69.7,Vit A,Education
Secondary,2016,72.6,Vit A,Education
Lowest,2016,67.9,Vit A,Income
Highest,2016,71.3,Vit A,Income
Total,2016,68.7,Vit A,Overall
Under 20,2016,37.6,Iron And Folic,Mothers Age
20-34,2016,47,Iron And Folic,Mothers Age
35-49,2016,53.4,Iron And Folic,Mothers Age
Urban,2016,58.8,Iron And Folic,Location
Rural,2016,47,Iron And Folic,Location
Primary,2016,,Iron And Folic,Education
Secondary,2016,53,Iron And Folic,Education
Lowest,2016,46.2,Iron And Folic,Income
Highest,2016,59.8,Iron And Folic,Income
Total,2016,47.6,Iron And Folic,Overall
,2010,11,Early Childbearing Prev,All
,2017,0.471,Gender Inequality,All
,2017,114,Gender Inequality Rank,All
,2001,,Undernourishment Prev,All
,2005,,Undernourishment Prev,All
,2009,,Undernourishment Prev,All
,2013,,Undernourishment Prev,All
,2017,,Undernourishment Prev,All
Boys,2000,38.6679793905345,Adolescent Underweight,Gender
Boys,2001,38.2411595042756,Adolescent Underweight,Gender
Boys,2002,37.8122102844254,Adolescent Underweight,Gender
Boys,2003,37.3839028740347,Adolescent Underweight,Gender
Boys,2004,36.9516416604641,Adolescent Underweight,Gender
Boys,2005,36.5137456228104,Adolescent Underweight,Gender
Boys,2006,36.0753194985787,Adolescent Underweight,Gender
Boys,2007,35.6354610499593,Adolescent Underweight,Gender
Boys,2008,35.1936122652713,Adolescent Underweight,Gender
Boys,2009,34.7490269127703,Adolescent Underweight,Gender
Boys,2010,34.3026747212081,Adolescent Underweight,Gender
Boys,2011,33.855215221146,Adolescent Underweight,Gender
Boys,2012,33.4055467007484,Adolescent Underweight,Gender
Boys,2013,32.9574340368284,Adolescent Underweight,Gender
Boys,2014,32.5103628010317,Adolescent Underweight,Gender
Boys,2015,32.0701968003786,Adolescent Underweight,Gender
Boys,2016,31.6340674115125,Adolescent Underweight,Gender
Girls,2000,24.3482155257906,Adolescent Underweight,Gender
Girls,2001,23.9930328858549,Adolescent Underweight,Gender
Girls,2002,23.63825284007,Adolescent Underweight,Gender
Girls,2003,23.2830327096251,Adolescent Underweight,Gender
Girls,2004,22.9317584349051,Adolescent Underweight,Gender
Girls,2005,22.5805411190356,Adolescent Underweight,Gender
Girls,2006,22.2282760420583,Adolescent Underweight,Gender
Girls,2007,21.8783824415568,Adolescent Underweight,Gender
Girls,2008,21.5335300373581,Adolescent Underweight,Gender
Girls,2009,21.1928506512964,Adolescent Underweight,Gender
Girls,2010,20.8558343089895,Adolescent Underweight,Gender
Girls,2011,20.5245907358987,Adolescent Underweight,Gender
Girls,2012,20.1962512442271,Adolescent Underweight,Gender
Girls,2013,19.8713538402889,Adolescent Underweight,Gender
Girls,2014,19.5507808614018,Adolescent Underweight,Gender
Girls,2015,19.2361914807236,Adolescent Underweight,Gender
Girls,2016,18.9281874191013,Adolescent Underweight,Gender
Boys,2000,1.87928165798809,Adolescent Overweight,Gender
Boys,2001,2.0385870500876,Adolescent Overweight,Gender
Boys,2002,2.20821834484325,Adolescent Overweight,Gender
Boys,2003,2.3892188504509,Adolescent Overweight,Gender
Boys,2004,2.58196455205338,Adolescent Overweight,Gender
Boys,2005,2.78655186850611,Adolescent Overweight,Gender
Boys,2006,3.00390419530991,Adolescent Overweight,Gender
Boys,2007,3.23509206637755,Adolescent Overweight,Gender
Boys,2008,3.48033545753253,Adolescent Overweight,Gender
Boys,2009,3.74159459614559,Adolescent Overweight,Gender
Boys,2010,4.01922412314516,Adolescent Overweight,Gender
Boys,2011,4.31665636560214,Adolescent Overweight,Gender
Boys,2012,4.63593196051914,Adolescent Overweight,Gender
Boys,2013,4.97964553315914,Adolescent Overweight,Gender
Boys,2014,5.34833876532734,Adolescent Overweight,Gender
Boys,2015,5.74415303511885,Adolescent Overweight,Gender
Boys,2016,6.17023677662871,Adolescent Overweight,Gender
Girls,2000,6.00798906373677,Adolescent Overweight,Gender
Girls,2001,6.38638033632931,Adolescent Overweight,Gender
Girls,2002,6.78136946080573,Adolescent Overweight,Gender
Girls,2003,7.19217950883436,Adolescent Overweight,Gender
Girls,2004,7.61788192445107,Adolescent Overweight,Gender
Girls,2005,8.05954250509792,Adolescent Overweight,Gender
Girls,2006,8.51888334496389,Adolescent Overweight,Gender
Girls,2007,8.99437307344451,Adolescent Overweight,Gender
Girls,2008,9.48746607514255,Adolescent Overweight,Gender
Girls,2009,9.99799206186066,Adolescent Overweight,Gender
Girls,2010,10.5280414110099,Adolescent Overweight,Gender
Girls,2011,11.0792479566224,Adolescent Overweight,Gender
Girls,2012,11.6531695393859,Adolescent Overweight,Gender
Girls,2013,12.2508575461768,Adolescent Overweight,Gender
Girls,2014,12.8720800017835,Adolescent Overweight,Gender
Girls,2015,13.5188404757802,Adolescent Overweight,Gender
Girls,2016,14.1899253827993,Adolescent Overweight,Gender
Boys,2000,0.163167652026262,Adolescent Obesity,Gender
Boys,2001,0.1855935347679,Adolescent Obesity,Gender
Boys,2002,0.210848283694173,Adolescent Obesity,Gender
Boys,2003,0.239344799185451,Adolescent Obesity,Gender
Boys,2004,0.271364565160068,Adolescent Obesity,Gender
Boys,2005,0.307366582149977,Adolescent Obesity,Gender
Boys,2006,0.347762307274654,Adolescent Obesity,Gender
Boys,2007,0.392931416469435,Adolescent Obesity,Gender
Boys,2008,0.443319951148812,Adolescent Obesity,Gender
Boys,2009,0.499568127883005,Adolescent Obesity,Gender
Boys,2010,0.562301679065769,Adolescent Obesity,Gender
Boys,2011,0.632484976626813,Adolescent Obesity,Gender
Boys,2012,0.711321168995374,Adolescent Obesity,Gender
Boys,2013,0.800576799124842,Adolescent Obesity,Gender
Boys,2014,0.901414239220692,Adolescent Obesity,Gender
Boys,2015,1.01505701804653,Adolescent Obesity,Gender
Boys,2016,1.14376885041671,Adolescent Obesity,Gender
Girls,2000,0.439901737741271,Adolescent Obesity,Gender
Girls,2001,0.495713783174185,Adolescent Obesity,Gender
Girls,2002,0.557546022218273,Adolescent Obesity,Gender
Girls,2003,0.625934293124255,Adolescent Obesity,Gender
Girls,2004,0.701470288563191,Adolescent Obesity,Gender
Girls,2005,0.784120061599121,Adolescent Obesity,Gender
Girls,2006,0.874521608913604,Adolescent Obesity,Gender
Girls,2007,0.973323457532005,Adolescent Obesity,Gender
Girls,2008,1.08123833542235,Adolescent Obesity,Gender
Girls,2009,1.19824811464943,Adolescent Obesity,Gender
Girls,2010,1.32585294041694,Adolescent Obesity,Gender
Girls,2011,1.46550188680189,Adolescent Obesity,Gender
Girls,2012,1.61770996014028,Adolescent Obesity,Gender
Girls,2013,1.78386655824277,Adolescent Obesity,Gender
Girls,2014,1.96509639710231,Adolescent Obesity,Gender
Girls,2015,2.16282059504624,Adolescent Obesity,Gender
Girls,2016,2.37899085334239,Adolescent Obesity,Gender
All women,2000,41.3,Adult Anemia,Pregnancy
All women,2001,39.7,Adult Anemia,Pregnancy
All women,2002,38.1,Adult Anemia,Pregnancy
All women,2003,36.6,Adult Anemia,Pregnancy
All women,2004,35,Adult Anemia,Pregnancy
All women,2005,33.4,Adult Anemia,Pregnancy
All women,2006,31.8,Adult Anemia,Pregnancy
All women,2007,30.2,Adult Anemia,Pregnancy
All women,2008,28.7,Adult Anemia,Pregnancy
All women,2009,27.4,Adult Anemia,Pregnancy
All women,2010,26.5,Adult Anemia,Pregnancy
All women,2011,25.9,Adult Anemia,Pregnancy
All women,2012,25.6,Adult Anemia,Pregnancy
All women,2013,25.6,Adult Anemia,Pregnancy
All women,2014,25.7,Adult Anemia,Pregnancy
All women,2015,26.2,Adult Anemia,Pregnancy
All women,2016,26.7,Adult Anemia,Pregnancy
All women,2017,,Adult Anemia,Pregnancy
All women,2018,,Adult Anemia,Pregnancy
Male,2017,2.080198035,Adult Sodium,Gender
Female,2017,3.033737652,Adult Sodium,Gender
Both,2017,2.544800288,Adult Sodium,Overall
Male,2010,2.34944490902017,Adult Sodium,Gender
Female,2010,3.01780083234366,Adult Sodium,Gender
Both,2010,2.68045585837681,Adult Sodium,Overall
,2005,79.70452,190 Percent,All
,2010,74.90648,190 Percent,All
,2015,74.8696,190 Percent,All
,2018,78.18653,190 Percent,All
,2005,93.52268,320 Percent,All
,2010,91.06884,320 Percent,All
,2015,90.66188,320 Percent,All
,2018,92.26947,320 Percent,All
Tax revenue,2015,0.368691001693719,Government Revenue,
Non Tax revenue,2015,0.0409660352228749,Government Revenue,
Tax revenue,2016,0.353112961529214,Government Revenue,
Non Tax revenue,2016,0.0348785881977664,Government Revenue,
Tax revenue,2017,0.346160170854412,Government Revenue,
Non Tax revenue,2017,0.0341918291455881,Government Revenue,
Tax revenue,2018,0.340485307553467,Government Revenue,
Non Tax revenue,2018,0.0336312968465326,Government Revenue,
Tax revenue,2019,0.338803650619461,Government Revenue,
Non Tax revenue,2019,0.0334651918714076,Government Revenue,
Tax revenue,2020,0.337373837048039,Government Revenue,
Non Tax revenue,2020,0.0333239626213081,Government Revenue,
Tax revenue,2021,0.339060706233279,Government Revenue,
Non Tax revenue,2021,0.0334905824344146,Government Revenue,
Tax revenue,2022,0.340756009764446,Government Revenue,
Non Tax revenue,2022,0.0336580353465867,Government Revenue,
Tax revenue,2023,0.342459789813268,Government Revenue,
Non Tax revenue,2023,0.0338263255233196,Government Revenue,
Tax revenue,2024,0.352328270356489,Government Revenue,
Non Tax revenue,2024,0.0348010806484616,Government Revenue,
Tax revenue,2025,0.330555734063555,Government Revenue,
Non Tax revenue,2025,0.0326505072905948,Government Revenue,
,2000,156.413765,U5mr,All
,2001,150.683458,U5mr,All
,2002,144.793595,U5mr,All
,2003,138.68779,U5mr,All
,2004,132.157992,U5mr,All
,2005,124.977279,U5mr,All
,2006,117.55582,U5mr,All
,2007,110.245899,U5mr,All
,2008,103.261138,U5mr,All
,2009,96.746144,U5mr,All
,2010,90.720182,U5mr,All
,2011,85.157831,U5mr,All
,2012,79.977881,U5mr,All
,2013,75.146563,U5mr,All
,2014,70.793591,U5mr,All
,2015,67.029887,U5mr,All
,2016,63.807951,U5mr,All
,2017,60.97722,U5mr,All
,2018,58.456862,U5mr,All
,2000,,Female Secondary Enroll Net,All
,2001,,Female Secondary Enroll Net,All
,2002,,Female Secondary Enroll Net,All
,2003,,Female Secondary Enroll Net,All
,2004,,Female Secondary Enroll Net,All
,2005,,Female Secondary Enroll Net,All
,2006,,Female Secondary Enroll Net,All
,2007,,Female Secondary Enroll Net,All
,2008,,Female Secondary Enroll Net,All
,2009,11.8857002258301,Female Secondary Enroll Net,All
,2010,13.7017002105713,Female Secondary Enroll Net,All
,2011,15.425950050354,Female Secondary Enroll Net,All
,2012,17.4029502868652,Female Secondary Enroll Net,All
,2013,21.0114707946777,Female Secondary Enroll Net,All
,2014,26.1962394714355,Female Secondary Enroll Net,All
,2015,30.0907192230225,Female Secondary Enroll Net,All
,2016,34.0804214477539,Female Secondary Enroll Net,All
,2017,31.6692905426025,Female Secondary Enroll Net,All
,2018,,Female Secondary Enroll Net,All
Pregnant women,2000,50.2,Adult Anemia,Pregnancy
Pregnant women,2001,49.1,Adult Anemia,Pregnancy
Pregnant women,2002,47.9,Adult Anemia,Pregnancy
Pregnant women,2003,46.6,Adult Anemia,Pregnancy
Pregnant women,2004,45.2,Adult Anemia,Pregnancy
Pregnant women,2005,43.6,Adult Anemia,Pregnancy
Pregnant women,2006,41.9,Adult Anemia,Pregnancy
Pregnant women,2007,40.1,Adult Anemia,Pregnancy
Pregnant women,2008,38.4,Adult Anemia,Pregnancy
Pregnant women,2009,36.7,Adult Anemia,Pregnancy
Pregnant women,2010,35.3,Adult Anemia,Pregnancy
Pregnant women,2011,34.1,Adult Anemia,Pregnancy
Pregnant women,2012,33.2,Adult Anemia,Pregnancy
Pregnant women,2013,32.4,Adult Anemia,Pregnancy
Pregnant women,2014,31.7,Adult Anemia,Pregnancy
Pregnant women,2015,31.2,Adult Anemia,Pregnancy
Pregnant women,2016,30.9,Adult Anemia,Pregnancy
Pregnant women,2017,,Adult Anemia,Pregnancy
Pregnant women,2018,,Adult Anemia,Pregnancy
Non-pregnant women,2000,40,Adult Anemia,Pregnancy
Non-pregnant women,2001,38.4,Adult Anemia,Pregnancy
Non-pregnant women,2002,36.7,Adult Anemia,Pregnancy
Non-pregnant women,2003,35.2,Adult Anemia,Pregnancy
Non-pregnant women,2004,33.6,Adult Anemia,Pregnancy
Non-pregnant women,2005,32,Adult Anemia,Pregnancy
Non-pregnant women,2006,30.4,Adult Anemia,Pregnancy
Non-pregnant women,2007,28.9,Adult Anemia,Pregnancy
Non-pregnant women,2008,27.4,Adult Anemia,Pregnancy
Non-pregnant women,2009,26.2,Adult Anemia,Pregnancy
Non-pregnant women,2010,25.3,Adult Anemia,Pregnancy
Non-pregnant women,2011,24.8,Adult Anemia,Pregnancy
Non-pregnant women,2012,24.6,Adult Anemia,Pregnancy
Non-pregnant women,2013,24.7,Adult Anemia,Pregnancy
Non-pregnant women,2014,25,Adult Anemia,Pregnancy
Non-pregnant women,2015,25.5,Adult Anemia,Pregnancy
Non-pregnant women,2016,26.2,Adult Anemia,Pregnancy
Non-pregnant women,2017,,Adult Anemia,Pregnancy
Non-pregnant women,2018,,Adult Anemia,Pregnancy
Wasting alone,2016,1.6720702,Coexistence,All
Wasting and stunting,2016,3.4217618,Coexistence,All
Stunting alone,2016,51.79232134,Coexistence,All
Stunting and overweight,2016,0.73307186,Coexistence,All
Overweight alone,2016,0.63056504,Coexistence,All
Free from,2016,41.75020976,Coexistence,All
Both,2000,1.5168753,Overweight Percent,Overall
Both,2010,2.8846755,Overweight Percent,Overall
Both,2016,1.3636369,Overweight Percent,Overall
Boys,2000,1.79828,Overweight Percent,Gender
Boys,2010,3.0606067,Overweight Percent,Gender
Boys,2016,1.5208449,Overweight Percent,Gender
Girls,2000,1.2518409,Overweight Percent,Gender
Girls,2010,2.7008793,Overweight Percent,Gender
Girls,2016,1.2041924,Overweight Percent,Gender
Urban,2000,2.1390374,Overweight Percent,Location
Urban,2010,2.6108992,Overweight Percent,Location
Urban,2016,2.2826576,Overweight Percent,Location
Rural,2000,1.4693878,Overweight Percent,Location
Rural,2010,2.9096868,Overweight Percent,Location
Rural,2016,1.2719189,Overweight Percent,Location
Lowest,2000,2.0833335,Overweight Percent,Income
Lowest,2010,2.2782617,Overweight Percent,Income
Lowest,2016,0.93522239,Overweight Percent,Income
Second lowest,2000,1.2072434,Overweight Percent,Income
Second lowest,2010,2.3325572,Overweight Percent,Income
Second lowest,2016,1.5037835,Overweight Percent,Income
Middle,2000,0.59405941,Overweight Percent,Income
Middle,2010,3.4920177,Overweight Percent,Income
Middle,2016,1.1039109,Overweight Percent,Income
Second highest,2000,1.8032787,Overweight Percent,Income
Second highest,2010,3.2429721,Overweight Percent,Income
Second highest,2016,1.6547732,Overweight Percent,Income
Highest,2000,1.8348624,Overweight Percent,Income
Highest,2010,3.1373599,Overweight Percent,Income
Highest,2016,1.731108,Overweight Percent,Income
None or primary,2000,1.3173653,Overweight Percent,Education
None or primary,2010,2.7288101,Overweight Percent,Education
None or primary,2016,1.3308133,Overweight Percent,Education
Secondary or higher,2000,0,Overweight Percent,Education
Secondary or higher,2010,4.5672989,Overweight Percent,Education
Secondary or higher,2016,1.6894712,Overweight Percent,Education
24-35 months,2000,1.2704175,Overweight Percent,Age
24-35 months,2010,3.085897,Overweight Percent,Age
24-35 months,2016,1.4352158,Overweight Percent,Age
36-47 months,2000,2.5844929,Overweight Percent,Age
36-47 months,2010,2.1941555,Overweight Percent,Age
36-47 months,2016,1.4978054,Overweight Percent,Age
48-59 months,2000,0.45977011,Overweight Percent,Age
48-59 months,2010,1.8598529,Overweight Percent,Age
48-59 months,2016,0.53904408,Overweight Percent,Age
0-23 months,2000,1.536643,Overweight Percent,Age
0-23 months,2010,3.4441619,Overweight Percent,Age
0-23 months,2016,1.6976094,Overweight Percent,Age
Both,2000,63.958515,Stunting Percent,Overall
Both,2005,57.700001,Stunting Percent,Overall
Both,2010,57.598381,Stunting Percent,Overall
Both,2016,55.947155,Stunting Percent,Overall
Boys,2000,66.845398,Stunting Percent,Gender
Boys,2005,,Stunting Percent,Gender
Boys,2010,61.813919,Stunting Percent,Gender
Boys,2016,59.447086,Stunting Percent,Gender
Girls,2000,61.25523,Stunting Percent,Gender
Girls,2005,,Stunting Percent,Gender
Girls,2010,53.170795,Stunting Percent,Gender
Girls,2016,52.400177,Stunting Percent,Gender
Urban,2000,38.690479,Stunting Percent,Location
Urban,2005,,Stunting Percent,Location
Urban,2010,37.900864,Stunting Percent,Location
Urban,2016,27.827675,Stunting Percent,Location
Rural,2000,65.936623,Stunting Percent,Location
Rural,2005,,Stunting Percent,Location
Rural,2010,59.396332,Stunting Percent,Location
Rural,2016,58.758129,Stunting Percent,Location
Lowest,2000,68.888893,Stunting Percent,Income
Lowest,2005,,Stunting Percent,Income
Lowest,2010,70.072952,Stunting Percent,Income
Lowest,2016,69.074539,Stunting Percent,Income
Second lowest,2000,67.294113,Stunting Percent,Income
Second lowest,2005,,Stunting Percent,Income
Second lowest,2010,58.809494,Stunting Percent,Income
Second lowest,2016,63.688667,Stunting Percent,Income
Middle,2000,66.966286,Stunting Percent,Income
Middle,2005,,Stunting Percent,Income
Middle,2010,59.671314,Stunting Percent,Income
Middle,2016,60.243458,Stunting Percent,Income
Second highest,2000,67.282806,Stunting Percent,Income
Second highest,2005,,Stunting Percent,Income
Second highest,2010,56.09774,Stunting Percent,Income
Second highest,2016,49.68718,Stunting Percent,Income
Highest,2000,50.803215,Stunting Percent,Income
Highest,2005,,Stunting Percent,Income
